poi_id;poi_name;category;latitude;longitude;area;nearest_stop_id;walking_min_from_stop;short_description;osm_id;source;verified
POI_021;Le Studio des Arts Vivants;theatre;33.574295;-7.683833;Centre-ville;T1_011;10;Le Studio des Arts Vivants est un espace de création et de diffusion artistique indépendant à Casablanca. Il propose des résidences, ateliers de danse et de théâtre, et accueille des créations contemporaines marocaines et internationales.;way/289694069;OSM-Overpass/culture;TRUE
POI_022;Mohammed sqali;theatre;33.60363;-7.511963;Casablanca;;;Site touristique de Casablanca.;way/767871639;OSM-Overpass/culture;FALSE
POI_023;Théâtre Mohammed VI;theatre;33.591495;-7.597061;Centre-ville;T1_010;8;Le Grand Théâtre de Casablanca Mohammed VI est la plus grande salle de spectacle du Maroc avec une capacité de 1 800 places. Inauguré en 2021, il accueille opéras, ballets, concerts symphoniques et spectacles internationaux.;node/1464276499;OSM-Overpass/culture;TRUE
POI_024;المركب الثقافي كمال الزبدي;theatre;33.556415;-7.572709;Casablanca;;;Site touristique de Casablanca.;node/5281275721;OSM-Overpass/culture;FALSE
POI_025;L'Instant T;theatre;33.586005;-7.633334;Casablanca;;;Site touristique de Casablanca.;node/12096994525;OSM-Overpass/culture;FALSE
POI_026;Centre cinématographique marocain;arts_centre;33.594619;-7.627874;Centre-ville / Maârif;T1_011;7;Le Centre Cinématographique Marocain (CCM) est l'organisme officiel de régulation et de promotion du cinéma au Maroc. Son siège à Casablanca abrite des salles de projection, une cinémathèque et des archives du patrimoine filmique marocain.;way/418848823;OSM-Overpass/culture;TRUE
POI_027;Centre culturel Noujoum;arts_centre;33.574092;-7.527791;Casablanca;;;Site touristique de Casablanca.;way/547646395;OSM-Overpass/culture;FALSE
POI_028;Centre Socio-Culturel;arts_centre;33.5263;-7.650576;Casablanca;;;Site touristique de Casablanca.;way/804294277;OSM-Overpass/culture;FALSE
POI_029;Centre Culturel Sidi Maarouf;arts_centre;33.522405;-7.650004;Casablanca;;;Site touristique de Casablanca.;node/13231699695;OSM-Overpass/culture;FALSE
POI_030;Palais Royal de Casablanca;attraction;33.579538;-7.604603;Médina / Habous;T3_003;10;Le Palais Royal de Casablanca est une résidence officielle du roi Mohammed VI, non ouverte au public. Ses imposantes portes sculptées et son esplanade sont visibles depuis la rue et constituent un symbole architectural de la ville.;way/107537220;OSM-Overpass/tourism;TRUE
POI_031;Anciens Abattoirs de Casablanca;attraction;33.595088;-7.58227;Hay Mohammadi;T1_004;10;Les Anciens Abattoirs sont un complexe industriel du début XXe siècle reconverti en espace culturel et artistique. Ce lieu alternatif accueille des festivals, expositions d'art contemporain, et est devenu un symbole de la scène créative casablancaise.;way/168411677;OSM-Overpass/tourism;TRUE
POI_032;Joutia de Derb Ghallef جوطية درب غلف;attraction;33.570992;-7.629987;Casablanca;;;Site touristique de Casablanca.;way/214485934;OSM-Overpass/tourism;FALSE
POI_033;Post Office;attraction;33.596344;-7.608602;Casablanca;;;Site touristique de Casablanca.;way/248378046;OSM-Overpass/tourism;FALSE
POI_034;Marché central;attraction;33.594888;-7.611937;Centre-ville;T1_011;8;Le Marché Central de Casablanca est un marché couvert historique au cœur de la ville fondé en 1917. Il propose poissons frais, fruits, légumes, viandes et épices dans une atmosphère animée, entouré de cafés et restaurants traditionnels.;way/272993158;OSM-Overpass/tourism;TRUE
POI_035;Centre Commercial Jawhara;attraction;33.593486;-7.513751;Casablanca;;;Site touristique de Casablanca.;way/595677021;OSM-Overpass/tourism;FALSE
POI_036;Mosquée el haj fateh;attraction;33.544005;-7.679129;Casablanca;;;Site touristique de Casablanca.;way/596671548;OSM-Overpass/tourism;FALSE
POI_037;Twin Center;attraction;33.586584;-7.632292;Maârif;T1_014;5;Les Twin Center sont deux tours jumelles de 28 étages (120 m) construites en 1998 qui dominent le quartier Maârif. Symbole de la Casablanca moderne, elles abritent bureaux, commerces et l'hôtel Kenzi Tower. Vue panoramique depuis le sommet.;node/770235536;OSM-Overpass/tourism;TRUE
POI_038;Mahkama du Pacha;attraction;33.578953;-7.60632;Habous;T3_003;6;Chef-d'œuvre de l'architecture mauresque du XXe siècle, la Mahkama du Pacha (1952) servait de tribunal et de résidence du gouverneur. Ses 64 salles ornées de plâtres sculptés, zelliges et cèdre sculpté en font l'un des plus beaux monuments de Casablanca.;node/2778538969;OSM-Overpass/tourism;TRUE
POI_039;سوق بنجدية;attraction;33.585676;-7.610715;Casablanca;;;Site touristique de Casablanca.;node/4225325215;OSM-Overpass/tourism;FALSE
POI_040;Souk des olives;attraction;33.577197;-7.605055;Casablanca;;;Site touristique de Casablanca.;node/4437884091;OSM-Overpass/tourism;FALSE
POI_041;Elmanjra قسارية المنجرة;attraction;33.568518;-7.603073;Casablanca;;;Site touristique de Casablanca.;node/5011618528;OSM-Overpass/tourism;FALSE
POI_042;Casa 1373;attraction;33.571861;-7.684694;Casablanca;;;Site touristique de Casablanca.;node/5567300524;OSM-Overpass/tourism;FALSE
POI_043;Royal Palace;attraction;33.580816;-7.605941;Casablanca;;;Site touristique de Casablanca.;node/9825274918;OSM-Overpass/tourism;FALSE
POI_044;حديقة الجامعة العربية;attraction;33.589202;-7.623625;Centre-ville;T1_010;3;Le Parc de la Ligue Arabe (حديقة الجامعة العربية) est le plus grand espace vert du centre de Casablanca, dessiné en 1918. Ses palmiers centenaires, fontaines et allées ombragées en font le poumon vert de la ville et un lieu de promenade incontournable.;node/11220954101;OSM-Overpass/tourism;TRUE
POI_045;Coupole Zevaco الكرة الأرضية;attraction;33.596455;-7.617628;Centre-ville;T1_010;5;La Coupole Zevaco, aussi appelée 'la Boule', est une œuvre architecturale moderniste de Jean-François Zevaco devenue symbole du Casablanca des années 1960. Classée patrimoine architectural, elle illustre le mouvement de l'architecture moderne marocaine.;node/11221898139;OSM-Overpass/tourism;TRUE
POI_046;المركب التجاري الصفوة;attraction;33.592892;-7.611784;Casablanca;;;Site touristique de Casablanca.;node/11222381805;OSM-Overpass/tourism;FALSE
POI_047;Local market place;attraction;33.598316;-7.621519;Casablanca;;;Site touristique de Casablanca.;node/11333458869;OSM-Overpass/tourism;FALSE
POI_048;WeCasablanca Sign;attraction;33.591649;-7.618276;Corniche;T2_010;5;Le panneau WeCasablanca sur la Corniche est devenu l'un des spots photos les plus populaires de la ville, à l'image des grands panneaux 'I Love NY' ou 'Hollywood'. Il domine la promenade de l'Atlantique et offre une vue sur l'océan.;node/11425552169;OSM-Overpass/tourism;TRUE
POI_049;Centre Commercial Mediouna;attraction;33.572937;-7.597938;Casablanca;;;Site touristique de Casablanca.;node/11434496851;OSM-Overpass/tourism;FALSE
POI_050;Derb Sultan Gallery;attraction;33.57544;-7.599312;Casablanca;;;Site touristique de Casablanca.;node/11434503933;OSM-Overpass/tourism;FALSE
POI_051;مجموعة شيك فولار;attraction;33.575398;-7.6015;Casablanca;;;Site touristique de Casablanca.;node/11435137199;OSM-Overpass/tourism;FALSE
POI_052;مركز سوق الحبوس;attraction;33.577812;-7.604563;Casablanca;;;Site touristique de Casablanca.;node/11435151069;OSM-Overpass/tourism;FALSE
POI_053;برج الياقوت;attraction;33.589062;-7.610187;Casablanca;;;Site touristique de Casablanca.;node/11435273989;OSM-Overpass/tourism;FALSE
POI_054;غرفة التجارة الصناعية و الخدمات;attraction;33.594814;-7.613688;Casablanca;;;Site touristique de Casablanca.;node/11435294450;OSM-Overpass/tourism;FALSE
POI_055;Place des Nations Unies ساحة الأمم المتحدة;attraction;33.594996;-7.618664;Centre-ville;T1_006d;3;Cœur symbolique de Casablanca, la Place des Nations Unies est entourée de bâtiments Art déco et de la fontaine centrale. C'est un carrefour incontournable entre la médina et le centre moderne, point de départ idéal pour explorer la ville.;node/12844672795;OSM-Overpass/tourism;TRUE
POI_056;سد كنون;viewpoint;33.520267;-7.693371;Casablanca;;;Site touristique de Casablanca.;node/4618130389;OSM-Overpass/tourism;FALSE
POI_057;View on mosque;viewpoint;33.609788;-7.650518;Corniche;T2_008;3;Point de vue privilégié sur la Mosquée Hassan II depuis la Corniche atlantique. Ce belvédère offre une perspective unique sur le monument religieux et son esplanade, avec l'océan Atlantique en arrière-plan — idéal pour la photographie.;node/5074127721;OSM-Overpass/tourism;TRUE
POI_058;مسجد المنار;mosque;33.60481;-7.652001;Casablanca;;;Site touristique de Casablanca.;way/105623040;OSM-Overpass/mosque;FALSE
POI_059;Mosquée essouna;mosque;33.561681;-7.60952;Casablanca;;;Site touristique de Casablanca.;way/222803836;OSM-Overpass/mosque;FALSE
POI_060;Mosquée Tunis;mosque;33.514696;-7.653976;Casablanca;;;Site touristique de Casablanca.;way/231271840;OSM-Overpass/mosque;FALSE
POI_061;Mosquée Ali Ibn Abi Talib;mosque;33.561876;-7.561246;Casablanca;;;Site touristique de Casablanca.;way/243785430;OSM-Overpass/mosque;FALSE
POI_062;Masjid Arrahmane;mosque;33.561512;-7.556322;Casablanca;;;Site touristique de Casablanca.;way/243914291;OSM-Overpass/mosque;FALSE
POI_063;Mosquée Al Fath;mosque;33.574618;-7.51701;Centre-ville;T1_010;6;La Mosquée Al Fath, dominant la Place Mohammed V depuis 1993, est l'une des plus belles mosquées du centre-ville de Casablanca. Son minaret de 60 mètres est visible de toute la place et constitue un repère architectural du cœur historique.;way/307922875;OSM-Overpass/mosque;TRUE
POI_064;مسجد عكاشة;mosque;33.56;-7.580405;Casablanca;;;Site touristique de Casablanca.;way/335377962;OSM-Overpass/mosque;FALSE
POI_065;Mosquee Ad Doha;mosque;33.570388;-7.63654;Casablanca;;;Site touristique de Casablanca.;way/338746118;OSM-Overpass/mosque;FALSE
POI_066;mosquée Pakistan;mosque;33.559796;-7.571027;Casablanca;;;Site touristique de Casablanca.;way/403382636;OSM-Overpass/mosque;FALSE
POI_067;Mosquée Ashokr مسجد الشكر;mosque;33.576921;-7.650906;Casablanca;;;Site touristique de Casablanca.;way/414882737;OSM-Overpass/mosque;FALSE
POI_068;Mosquée Al Andalous مسجد الأندلس;mosque;33.585424;-7.63487;Casablanca;;;Site touristique de Casablanca.;way/416583631;OSM-Overpass/mosque;FALSE
POI_069;Mosquée Al Hoda;mosque;33.569707;-7.611168;Casablanca;;;Site touristique de Casablanca.;way/417421804;OSM-Overpass/mosque;FALSE
POI_070;Masjid Dar al-Aman مسجد دار الامان;mosque;33.59144;-7.555339;Casablanca;;;Site touristique de Casablanca.;way/417863861;OSM-Overpass/mosque;FALSE
POI_071;مسجد حي الرجاء;mosque;33.566176;-7.617133;Casablanca;;;Site touristique de Casablanca.;way/417980046;OSM-Overpass/mosque;FALSE
POI_072;Mosquée Mohamed VI مسجد محمد السادس;mosque;33.585855;-7.609181;Hay Hassani;T2_005;8;La Mosquée Mohammed VI du quartier Hay Hassani est un édifice religieux moderne de grande capacité. Sa conception architecturale associe le style traditionnel marocain à des techniques de construction contemporaines.;way/419332738;OSM-Overpass/mosque;TRUE
POI_073;Mosquée Al Bathae;mosque;33.566601;-7.643688;Casablanca;;;Site touristique de Casablanca.;way/419591800;OSM-Overpass/mosque;FALSE
POI_074;مسجد بسم الله;mosque;33.573597;-7.580829;Casablanca;;;Site touristique de Casablanca.;way/420358042;OSM-Overpass/mosque;FALSE
POI_075;مسجد التوفيق;mosque;33.564503;-7.534687;Casablanca;;;Site touristique de Casablanca.;way/420406847;OSM-Overpass/mosque;FALSE
POI_076;مسجد مولاي رشيد;mosque;33.57007;-7.528143;Casablanca;;;Site touristique de Casablanca.;way/420411962;OSM-Overpass/mosque;FALSE
POI_077;مسجد الأربعين;mosque;33.570923;-7.588433;Casablanca;;;Site touristique de Casablanca.;way/420628041;OSM-Overpass/mosque;FALSE
POI_078;ibis;hotel;33.525351;-7.640413;Casablanca;;;Site touristique de Casablanca.;node/5151162922;OSM-Overpass/tourism;FALSE
POI_079;Ibis;hotel;33.577898;-7.625049;Casablanca;;;Site touristique de Casablanca.;node/13093077994;OSM-Overpass/tourism;FALSE
POI_080;Zenith;hotel;33.536551;-7.664555;Casablanca;;;Site touristique de Casablanca.;node/1095130670;OSM-Overpass/tourism;FALSE
POI_081;Adagio;hotel;33.585386;-7.644214;Casablanca;;;Site touristique de Casablanca.;node/13083739162;OSM-Overpass/tourism;FALSE
POI_082;Sofitel;hotel;33.59801;-7.613945;Centre-ville;T1_012;8;Le Sofitel Casablanca Tour Blanche est un hôtel 5 étoiles situé dans la tour blanche du centre-ville, offrant une vue panoramique sur l'Atlantique et la ville. C'est l'un des établissements de luxe emblématiques de Casablanca.;node/3114995988;OSM-Overpass/tourism;TRUE
POI_083;Le Doge;hotel;33.592753;-7.623462;Centre-ville;T1_013;5;Le Doge est un hôtel boutique 5 étoiles installé dans une villa Art déco des années 1930, entièrement restaurée. Ses 9 chambres uniquement, sa piscine intérieure et son restaurant gastronomique en font l'adresse la plus exclusive de Casablanca.;node/3207308761;OSM-Overpass/tourism;TRUE
POI_084;Windsor;hotel;33.595128;-7.624663;Casablanca;;;Site touristique de Casablanca.;node/3359706156;OSM-Overpass/tourism;FALSE
POI_085;Saisons;hotel;33.596907;-7.615227;Casablanca;;;Site touristique de Casablanca.;node/4193547796;OSM-Overpass/tourism;FALSE
POI_086;Ryad 91;hotel;33.597661;-7.617018;Casablanca;;;Site touristique de Casablanca.;node/11385730170;OSM-Overpass/tourism;FALSE
POI_087;Pestana;hotel;33.597788;-7.666643;Casablanca;;;Site touristique de Casablanca.;node/12926370993;OSM-Overpass/tourism;FALSE
POI_088;Boustane;hotel;33.590436;-7.595641;Casablanca;;;Site touristique de Casablanca.;node/1464579548;OSM-Overpass/tourism;FALSE
POI_089;Terminus;hotel;33.58955;-7.592136;Casablanca;;;Site touristique de Casablanca.;node/4221347655;OSM-Overpass/tourism;FALSE
POI_090;Guynemer;hotel;33.592656;-7.615487;Casablanca;;;Site touristique de Casablanca.;node/11413681078;OSM-Overpass/tourism;FALSE
POI_091;Excelsior;hotel;33.596235;-7.616421;Casablanca;;;Site touristique de Casablanca.;node/3472859893;OSM-Overpass/tourism;FALSE
